Call Time,Caller ID,Destination,Status,Ringing,Talking,Cost,Reason,Sentiment,Summary,Transcription
2025-08-01T07:50:55,DROGUERIA SDO515 (51520),VMail (05920),answered,00:00:00,00:00:06,0.00,Terminated by DROGUERIA SDO515 (51520),,,
2025-08-01T07:50:34,DROGUERIA SDO515 (51520),DROGUERIA STO059 (05920),unanswered,00:00:21,00:00:00,0.00,"No answer, forwarded to VMail (05920)",,,
2025-08-01T07:50:35,DROGUERIA SAO031 (03120),VMail (03620),answered,00:00:00,00:00:03,0.00,Terminated by DROGUERIA SAO031 (03120),,,
2025-08-01T07:50:14,DROGUERIA SAO031 (03120),DROGUERIA STO036 (03620),unanswered,00:00:21,00:00:00,0.00,"No answer, forwarded to VMail (03620)",,,
2025-08-01T07:50:31,DROGUERIA STO083 (08320),VMail (05520),answered,00:00:00,00:00:05,0.00,Terminated by DROGUERIA STO083 (08320),,,
2025-08-01T07:50:10,DROGUERIA STO083 (08320),DROGUERIA STO055 (05520),unanswered,00:00:21,00:00:00,0.00,"No answer, forwarded to VMail (05520)",,,
2025-08-01T07:49:56,DROGUERIA SDO515 (51520),VMail (05920),answered,00:00:00,00:00:37,0.00,Terminated by DROGUERIA SDO515 (51520),,,
2025-08-01T07:49:35,DROGUERIA SDO515 (51520),DROGUERIA STO059 (05920),unanswered,00:00:21,00:00:00,0.00,"No answer, forwarded to VMail (05920)",,,
2025-08-01T07:50:09,DROGUERIA SAO031 (03120),620,unanswered,00:00:00,00:00:00,0.00,Target not found,,,
2025-08-01T07:50:02,DROGUERIA STO083 (08320),VMail (05520),answered,00:00:00,00:00:03,0.00,Terminated by DROGUERIA STO083 (08320),,,
2025-08-01T07:49:41,DROGUERIA STO083 (08320),DROGUERIA STO055 (05520),unanswered,00:00:21,00:00:00,0.00,"No answer, forwarded to VMail (05520)",,,
2025-08-01T07:50:05,DROGUERIA SAO031 (03120),0,unanswered,00:00:00,00:00:00,0.00,Target not found,,,
2025-08-01T07:49:31,DROGUERIA SDO515 (51520),VMail (05920),answered,00:00:00,00:00:04,0.00,Terminated by DROGUERIA SDO515 (51520),,,
2025-08-01T07:49:10,DROGUERIA SDO515 (51520),DROGUERIA STO059 (05920),unanswered,00:00:21,00:00:00,0.00,"No answer, forwarded to VMail (05920)",,,
2025-08-01T07:49:20,DROGUERIA STO027 (02720),VMail (03820),answered,00:00:00,00:00:03,0.00,Terminated by DROGUERIA STO027 (02720),,,
2025-08-01T07:48:59,DROGUERIA STO027 (02720),DROGUERIA STO038 (03820),unanswered,00:00:21,00:00:00,0.00,"No answer, forwarded to VMail (03820)",,,
2025-08-01T07:49:10,ELECTRO SAO112 (11230),10,unanswered,00:00:00,00:00:00,0.00,Target not found,,,
2025-08-01T07:49:03,DROGUERIA SDO515 (51520),VMail (05920),answered,00:00:00,00:00:05,0.00,Terminated by DROGUERIA SDO515 (51520),,,
2025-08-01T07:48:42,DROGUERIA SDO515 (51520),DROGUERIA STO059 (05920),unanswered,00:00:21,00:00:00,0.00,"No answer, forwarded to VMail (05920)",,,
2025-08-01T07:48:49,DROGUERIA STO027 (02720),VMail (03820),answered,00:00:00,00:00:04,0.00,Terminated by DROGUERIA STO027 (02720),,,
2025-08-01T07:48:28,DROGUERIA STO027 (02720),DROGUERIA STO038 (03820),unanswered,00:00:21,00:00:00,0.00,"No answer, forwarded to VMail (03820)",,,
2025-08-01T07:47:32,CENTRAL SEGURIDAD SAO 321 (32160),79810,answered,00:00:03,00:01:12,1.21,Terminated by CENTRAL SEGURIDAD SAO 321 (32160),,,
2025-08-01T07:48:36,DROGUERIA SDO515 (51520),VMail (05920),answered,00:00:00,00:00:03,0.00,Terminated by DROGUERIA SDO515 (51520),,,
2025-08-01T07:48:15,DROGUERIA SDO515 (51520),DROGUERIA STO059 (05920),unanswered,00:00:21,00:00:00,0.00,"No answer, forwarded to VMail (05920)",,,
2025-08-01T07:48:23,DROGUERIA STO301 (30120),VMail (31120),answered,00:00:00,00:00:03,0.00,Terminated by DROGUERIA STO301 (30120),,,
2025-08-01T07:48:02,DROGUERIA STO301 (30120),DROGUERIA STO311 (31120),unanswered,00:00:21,00:00:00,0.00,"No answer, forwarded to VMail (31120)",,,
